Resource Name,Min_NonZero_TPO_Price,Max_TPO_Price
TNSKA_CC1_1,10.53,32.77
TNSKA_CC1_2,0.57,250.01
TOPAZ_UNIT1,12.04,5000.0
TOPAZ_UNIT10,10.99,5000.0
TOPAZ_UNIT2,12.75,5000.0
TOPAZ_UNIT3,12.04,5000.0
TOPAZ_UNIT4,12.04,5000.0
TOPAZ_UNIT5,10.99,5000.0
TOPAZ_UNIT6,10.99,5000.0
TOPAZ_UNIT7,10.99,5000.0
TOPAZ_UNIT8,8.43,5000.0
TOPAZ_UNIT9,8.14,5000.0
TRSES_UNIT6,0.94,613.66
TXCTY_CC1_3,13.64,75.0
TXCTY_CC1_4,10.74,75.0
TXCTY_CC1_7,10.35,78.25
TXCTY_CC1_8,8.01,90.81
TXCTY_CC1_9,9.64,159.25
VICTORIA_CC1_1,5.65,82.87
VICTPORT_CTG01,4.66,5000.0
VICTPORT_CTG02,4.66,5000.0
VICTPRT2_UNIT1,6.71,89.03
VICTPRT2_UNIT2,6.71,89.03
WAP_WAPGT_1,7.38,107.19
WAP_WAP_G1,8.2,4500.0
WAP_WAP_G2,12.8,101.41
WAP_WAP_G3,6.88,103.0
WAP_WAP_G4,11.75,78.0
WCPP_CC1_1,1.45,33.53
WCPP_CC1_2,1.27,33.53
WCPP_CC1_3,2.27,96.39
WCPP_CC1_4,0.01,82.7
WFCOGEN_CC1_5,75.0,81.0
WFCOGEN_CC1_6,75.0,85.0
WHCCS2_CC2_1,1.83,25.02
WHCCS2_CC2_3,1.83,32.48
WHCCS2_CC2_4,0.4,59.32
WHCCS_CC1_1,1.0,222.88
WHCCS_CC1_2,1.0,2501.0
WIPOPA_WPP_G1,8.65,75.0
WIPOPA_WPP_G2,8.65,75.0
WIPOPA_WPP_G3,8.65,75.0
WIPOPA_WPP_G4,8.65,75.0
